Time (s)                 thxIncl(deg)             thzIncl(deg)             thySun(deg)              thzSun(deg)              thxEuler(deg)            thyEuler(deg)            thzEuler(deg)            
0.18317                  -2.3048                  -2.35294                 0.39                     17.5                     3.07755                  -17.4572                 -1.29649                 
0.326971                 -2.29453                 -2.45725                 0.4                      17.51                    3.1789                   -17.4645                 -1.33693                 
0.486878                 -2.26571                 -2.40381                 0.41                     17.52                    3.11688                  -17.4754                 -1.32834                 
0.646828                 -2.23057                 -2.38956                 0.42                     17.52                    3.09157                  -17.4755                 -1.33026                 
0.774812                 -0.522604                -0.641383                0.42                     17.51                    0.806184                 -17.503                  -0.643055                
0.934377                 -0.59604                 -0.651874                0.4                      17.47                    0.839375                 -17.4629                 -0.633491                
1.09428                  -0.73916                 -0.717193                0.36                     17.4                     0.948718                 -17.3923                 -0.627178                
1.23814                  -0.610451                -0.650686                0.31                     17.3                     0.840747                 -17.2941                 -0.545956                
1.38208                  -0.43535                 -0.492337                0.26                     17.16                    0.626735                 -17.1564                 -0.433322                
1.54176                  -0.327171                -0.332206                0.21                     16.95                    0.431908                 -16.9481                 -0.326788                
1.68574                  -0.079819                -0.22532                 0.19                     16.69                    0.24925                  -16.6891                 -0.253577                
1.84546                  0.111469                 -0.0818161               0.19                     16.43                    0.0489459                -16.4298                 -0.196086                
1.9734                   0.145028                 -0.0675646               0.23                     16.15                    0.0255674                -16.1499                 -0.228035                
2.1332                   0.205632                 -0.094484                0.28                     15.8                     0.0362964                -15.7998                 -0.279304                
2.29286                  0.134763                 -0.276388                0.37                     15.5                     0.239019                 -15.4984                 -0.420416                
2.43702                  0.0518518                -0.450968                0.49                     15.15                    0.436933                 -15.1461                 -0.587148                
2.58076                  -0.0535638               -0.552708                0.61                     14.82                    0.566873                 -14.8137                 -0.734677                
2.74056                  -0.30131                 -0.66375                 0.7                      14.54                    0.74184                  -14.5303                 -0.863768                
2.88421                  -0.441075                -0.692055                0.74                     14.28                    0.804223                 -14.2689                 -0.915436                
3.02812                  -0.537212                -0.607536                0.75                     14.02                    0.741572                 -14.0097                 -0.907252                
3.18827                  -0.568995                -0.474918                0.7                      13.79                    0.614489                 -13.7822                 -0.826258                
3.33186                  -0.492796                -0.322111                0.65                     13.63                    0.441559                 -13.6249                 -0.735731                
3.47572                  -0.438706                -0.197015                0.55                     13.46                    0.301993                 -13.4571                 -0.60518                 
3.63564                  -0.284136                -0.135655                0.46                     13.34                    0.203023                 -13.3384                 -0.494429                
3.77934                  -0.207344                -0.109527                0.38                     13.24                    0.158308                 -13.239                  -0.406156                
3.9391                   -0.0888998               -0.16871                 0.31                     13.14                    0.189462                 -13.139                  -0.344952                
4.08289                  -0.000855992             -0.279159                0.28                     13.08                    0.279358                 -13.0786                 -0.335954                
4.22679                  0.0109885                -0.4575                  0.27                     13.01                    0.454962                 -13.0076                 -0.365482                
4.38662                  -0.0502079               -0.617037                0.3                      12.97                    0.628596                 -12.9661                 -0.43341                 
4.53044                  -0.130948                -0.682752                0.36                     12.94                    0.712825                 -12.9348                 -0.510452                
4.67413                  -0.226098                -0.695024                0.43                     12.93                    0.746902                 -12.9236                 -0.586186                
4.83419                  -0.373562                -0.661969                0.49                     12.93                    0.747678                 -12.9229                 -0.644834                
4.97804                  -0.420742                -0.602588                0.54                     12.94                    0.6992                   -12.9328                 -0.682819                
5.12165                  -0.418373                -0.416329                0.56                     12.95                    0.512492                 -12.9447                 -0.660586                
5.28313                  -0.442457                -0.320726                0.55                     12.97                    0.422597                 -12.9658                 -0.630803                
5.42565                  -0.376325                -0.339332                0.51                     12.99                    0.426117                 -12.9861                 -0.592718                
5.58544                  -0.286702                -0.287274                0.46                     13.01                    0.353502                 -13.0071                 -0.527765                
5.73043                  -0.222347                -0.23304                 0.42                     13.04                    0.284527                 -13.0379                 -0.473363                
5.8892                   -0.127592                -0.379513                0.36                     13.06                    0.409103                 -13.0572                 -0.443125                
6.04926                  -0.0869257               -0.512328                0.34                     13.07                    0.532502                 -13.0665                 -0.451598                
6.17733                  -0.154637                -0.684335                0.33                     13.09                    0.720276                 -13.0851                 -0.484526                
6.33694                  -0.0377712               -0.71937                 0.36                     13.1                     0.728155                 -13.0946                 -0.515638                
6.4803                   -0.113576                -0.699379                0.4                      13.12                    0.725836                 -13.1142                 -0.554284                
6.63986                  -0.175957                -0.663156                0.46                     13.13                    0.704177                 -13.1237                 -0.607901                
6.78371                  -0.285123                -0.623767                0.51                     13.15                    0.690341                 -13.1433                 -0.653643                
6.92767                  -0.267751                -0.504213                0.55                     13.16                    0.566786                 -13.1542                 -0.664571                
7.08748                  -0.399619                -0.44503                 0.56                     13.17                    0.538497                 -13.1644                 -0.667939                
7.23145                  -0.368034                -0.317163                0.55                     13.18                    0.403322                 -13.176                  -0.627462                
7.37498                  -0.292032                -0.257188                0.52                     13.19                    0.325614                 -13.187                  -0.580573                
7.53496                  -0.273278                -0.323695                0.48                     13.19                    0.387724                 -13.1866                 -0.555798                
7.67886                  -0.230638                -0.391191                0.43                     13.19                    0.445228                 -13.1864                 -0.520236                
7.83868                  -0.135488                -0.489764                0.39                     13.19                    0.521506                 -13.1861                 -0.498693                
7.98248                  -0.150491                -0.601202                0.37                     13.2                     0.636485                 -13.1953                 -0.505542                
8.14232                  -0.147135                -0.698191                0.36                     13.2                     0.732684                 -13.1946                 -0.517766                
8.28639                  -0.146148                -0.726694                0.38                     13.2                     0.760954                 -13.1941                 -0.543689                
8.44596                  -0.0819905               -0.711849                0.42                     13.21                    0.731084                 -13.2039                 -0.575919                
8.58975                  -0.199448                -0.619016                0.46                     13.21                    0.665809                 -13.2041                 -0.599948                
8.73366                  -0.25492                 -0.543998                0.49                     13.21                    0.603808                 -13.2044                 -0.61499                 
8.87744                  -0.3554                  -0.489962                0.52                     13.21                    0.573347                 -13.2044                 -0.637237                
9.03735                  -0.339213                -0.423455                0.53                     13.21                    0.503047                 -13.2051                 -0.630913                
9.19721                  -0.307233                -0.404057                0.53                     13.21                    0.476147                 -13.2054                 -0.624768                
9.34106                  -0.245839                -0.359917                0.5                      13.2                     0.41756                  -13.1962                 -0.582127                
9.48472                  -0.261434                -0.408214                0.47                     13.2                     0.469512                 -13.1959                 -0.56478                 
9.64473                  -0.193328                -0.456312                0.43                     13.19                    0.501606                 -13.1859                 -0.533097                
9.78865                  -0.231428                -0.55627                 0.4                      13.19                    0.610486                 -13.1852                 -0.528726                
9.93234                  -0.149504                -0.609317                0.38                     13.18                    0.644313                 -13.1751                 -0.516876                
10.0938                  -0.11476                 -0.645936                0.39                     13.18                    0.672798                 -13.1748                 -0.533104                
10.236                   -0.122459                -0.585961                0.41                     13.18                    0.614626                 -13.1751                 -0.539317                
10.3798                  -0.154439                -0.636237                0.43                     13.18                    0.672385                 -13.1743                 -0.571954                
10.5408                  -0.203988                -0.52658                 0.47                     13.18                    0.574329                 -13.1749                 -0.588549                
10.6995                  -0.20083                 -0.429987                0.51                     13.18                    0.476999                 -13.1755                 -0.60531                 
10.8274                  -0.251366                -0.338342                0.52                     13.19                    0.397235                 -13.1863                 -0.596912                
10.9871                  -0.317103                -0.372387                0.53                     13.19                    0.446679                 -13.1857                 -0.617926                
11.1309                  -0.268146                -0.3136                  0.52                     13.19                    0.376426                 -13.1865                 -0.592165                
11.2908                  -0.235376                -0.356354                0.5                      13.19                    0.411501                 -13.1863                 -0.580694                
11.4348                  -0.20162                 -0.380898                0.47                     13.19                    0.428136                 -13.1863                 -0.555281                
11.5786                  -0.251958                -0.574678                0.44                     13.19                    0.633701                 -13.1846                 -0.572964                
11.7382                  -0.154044                -0.607536                0.42                     13.2                     0.64365                  -13.1947                 -0.555854                
11.8822                  -0.144371                -0.619808                0.41                     13.2                     0.653654                 -13.1947                 -0.548403                
12.0418                  -0.137659                -0.60615                 0.41                     13.2                     0.638423                 -13.1949                 -0.544926                
12.1863                  -0.157005                -0.547957                0.43                     13.2                     0.584767                 -13.1952                 -0.552148                
12.3298                  -0.178918                -0.534299                0.46                     13.21                    0.576279                 -13.205                  -0.579497                
12.4774                  -0.221952                -0.472345                0.48                     13.21                    0.524424                 -13.2053                 -0.587121                
12.6335                  -0.295191                -0.474918                0.5                      13.22                    0.544234                 -13.2149                 -0.611189                
12.7774                  -0.296967                -0.405641                0.52                     13.23                    0.475432                 -13.2255                 -0.614989                
12.9371                  -0.231231                -0.408214                0.52                     13.24                    0.462599                 -13.2356                 -0.612111                
13.0812                  -0.322828                -0.453145                0.5                      13.24                    0.529071                 -13.2351                 -0.607862                
13.2409                  -0.25413                 -0.498671                0.48                     13.25                    0.558485                 -13.245                  -0.595205                
13.3888                  -0.23893                 -0.500848                0.45                     13.26                    0.55713                  -13.2552                 -0.565771                
13.5445                  -0.203199                -0.494316                0.43                     13.26                    0.542182                 -13.2556                 -0.542877                
13.6885                  -0.246431                -0.528757                0.41                     13.26                    0.586806                 -13.2554                 -0.533643                
13.8483                  -0.258275                -0.651478                0.41                     13.26                    0.71231                  -13.2542                 -0.562419                
13.9921                  -0.142397                -0.617433                0.42                     13.25                    0.650947                 -13.2447                 -0.557989                
14.1359                  -0.122656                -0.536477                0.43                     13.25                    0.565347                 -13.2454                 -0.54811                 
14.28                    -0.144174                -0.562208                0.46                     13.24                    0.596115                 -13.2348                 -0.584277                
14.4234                  -0.147332                -0.405047                0.48                     13.24                    0.4397                   -13.2361                 -0.567933                
14.5835                  -0.225901                -0.489368                0.5                      13.23                    0.542454                 -13.2249                 -0.610854                
14.7432                  -0.245247                -0.409203                0.51                     13.22                    0.466795                 -13.2156                 -0.60322                 
14.8871                  -0.22669                 -0.352791                0.51                     13.21                    0.405987                 -13.2063                 -0.589269                
15.0309                  -0.249787                -0.477294                0.5                      13.2                     0.535856                 -13.195                  -0.609131                
15.1907                  -0.1955                  -0.465219                0.49                     13.19                    0.51102                  -13.1854                 -0.593659                
15.3348                  -0.248997                -0.562011                0.47                     13.19                    0.620339                 -13.1844                 -0.599123                
15.5014                  -0.177931                -0.537268                0.45                     13.19                    0.578951                 -13.185                  -0.570211                
15.6223                  -0.175364                -0.540435                0.45                     13.19                    0.581517                 -13.185                  -0.570796                
15.782                   -0.202212                -0.516881                0.45                     13.2                     0.56429                  -13.1952                 -0.566945                
15.9418                  -0.2488                  -0.535685                0.45                     13.21                    0.594061                 -13.2049                 -0.573824                
16.0856                  -0.273278                -0.507974                0.46                     13.22                    0.572144                 -13.215                  -0.578631                
16.2453                  -0.255907                -0.446811                0.46                     13.23                    0.506953                 -13.2256                 -0.563795                
16.3893                  -0.229257                -0.392577                0.47                     13.24                    0.4465                   -13.2361                 -0.559756                
16.5335                  -0.244457                -0.296775                0.47                     13.25                    0.354323                 -13.247                  -0.538691                
16.693                   -0.241101                -0.317757                0.46                     13.25                    0.374514                 -13.2469                 -0.533584                
16.8369                  -0.257486                -0.370606                0.45                     13.26                    0.431265                 -13.2564                 -0.53691                 
16.9966                  -0.209318                -0.420288                0.44                     13.26                    0.469598                 -13.2562                 -0.535967                
17.1406                  -0.213069                -0.488378                0.43                     13.26                    0.53857                  -13.2556                 -0.542049                
17.2845                  -0.279003                -0.540633                0.43                     13.26                    0.606353                 -13.255                  -0.557591                
17.4283                  -0.193131                -0.582002                0.44                     13.26                    0.627493                 -13.2547                 -0.572171                
17.5937                  -0.152268                -0.51985                 0.45                     13.27                    0.555746                 -13.2653                 -0.56553                 
17.732                   -0.174377                -0.509557                0.46                     13.27                    0.550665                 -13.2652                 -0.574096                
17.8757                  -0.211292                -0.469178                0.47                     13.27                    0.51899                  -13.2654                 -0.576561                
18.0356                  -0.278608                -0.429195                0.48                     13.28                    0.494929                 -13.2756                 -0.580837                
18.1954                  -0.32421                 -0.474918                0.49                     13.28                    0.551407                 -13.2749                 -0.603538                
18.3428                  -0.277621                -0.46225                 0.48                     13.28                    0.527749                 -13.2753                 -0.588374                
18.483                   -0.195895                -0.429789                0.48                     13.28                    0.476008                 -13.2758                 -0.576492                
18.6272                  -0.187406                -0.44978                 0.47                     13.28                    0.493996                 -13.2757                 -0.570891                
18.7867                  -0.298349                -0.524798                0.45                     13.28                    0.595185                 -13.2749                 -0.574662                
18.9308                  -0.195302                -0.469376                0.44                     13.28                    0.515455                 -13.2757                 -0.546622                
19.0903                  -0.181879                -0.477294                0.43                     13.28                    0.520205                 -13.2758                 -0.53798                 
19.2343                  -0.188196                -0.530737                0.43                     13.28                    0.575137                 -13.2753                 -0.550594                
19.3939                  -0.257881                -0.56973                 0.43                     13.28                    0.630568                 -13.2747                 -0.563323                
19.5382                  -0.24347                 -0.51985                 0.44                     13.28                    0.57729                  -13.2752                 -0.560821                
19.6818                  -0.205568                -0.498275                0.45                     13.28                    0.546774                 -13.2753                 -0.563546                
19.8258                  -0.203988                -0.485805                0.46                     13.27                    0.533894                 -13.2654                 -0.570248                
19.9854                  -0.195697                -0.439884                0.47                     13.27                    0.48602                  -13.2658                 -0.568995                
20.1309                  -0.21761                 -0.426028                0.47                     13.26                    0.477291                 -13.2558                 -0.56693                 
20.2731                  -0.264593                -0.455521                0.47                     13.26                    0.517849                 -13.2555                 -0.57623                 
20.4331                  -0.254525                -0.460469                0.46                     13.25                    0.520379                 -13.2455                 -0.567007                
20.577                   -0.20695                 -0.48343                 0.46                     13.25                    0.532141                 -13.2454                 -0.569702                
20.7369                  -0.198264                -0.475116                0.45                     13.25                    0.521784                 -13.2456                 -0.557595                
20.8805                  -0.25334                 -0.537664                0.44                     13.25                    0.597292                 -13.245                  -0.565163                
21.0408                  -0.285518                -0.523809                0.44                     13.25                    0.591011                 -13.245                  -0.563723                
21.1841                  -0.28078                 -0.546571                0.44                     13.25                    0.612657                 -13.2448                 -0.568683                
21.3278                  -0.275253                -0.609713                0.44                     13.25                    0.674494                 -13.2442                 -0.58285                 
21.4877                  -0.286505                -0.601004                0.45                     13.25                    0.668433                 -13.2442                 -0.591195                
21.6319                  -0.296178                -0.53331                 0.46                     13.25                    0.603019                 -13.2447                 -0.585941                
21.7913                  -0.315129                -0.467595                0.47                     13.25                    0.541768                 -13.2452                 -0.581641                
21.9352                  -0.279398                -0.446613                0.47                     13.25                    0.512378                 -13.2455                 -0.574907                
22.0791                  -0.289268                -0.475314                0.47                     13.25                    0.543401                 -13.2452                 -0.582015                
22.2388                  -0.239522                -0.457302                0.47                     13.24                    0.513636                 -13.2355                 -0.575127                
22.3858                  -0.202014                -0.444634                0.47                     13.24                    0.492148                 -13.2357                 -0.570207                
22.5426                  -0.197079                -0.497285                0.46                     13.24                    0.543636                 -13.2353                 -0.572262                
22.6866                  -0.257881                -0.484419                0.46                     13.24                    0.545071                 -13.2353                 -0.57259                 
22.8465                  -0.284333                -0.51985                 0.45                     13.24                    0.586721                 -13.235                  -0.572392                
22.99                    -0.33487                 -0.555677                0.45                     13.24                    0.634429                 -13.2345                 -0.583315                
23.1339                  -0.321643                -0.571314                0.45                     13.24                    0.646955                 -13.2344                 -0.586182                
23.2777                  -0.287097                -0.535091                0.45                     13.25                    0.602664                 -13.2448                 -0.576127                
23.4376                  -0.324407                -0.481054                0.45                     13.25                    0.557412                 -13.2452                 -0.565759                
23.5815                  -0.255907                -0.44404                 0.45                     13.26                    0.504324                 -13.2558                 -0.553663                
23.7417                  -0.299731                -0.461657                0.45                     13.26                    0.532263                 -13.2555                 -0.560069                
23.8851                  -0.245839                -0.468584                0.45                     13.27                    0.526541                 -13.2655                 -0.558828                
24.0451                  -0.174377                -0.460865                0.44                     13.27                    0.501975                 -13.2659                 -0.543459                
24.1889                  -0.158585                -0.427018                0.44                     13.27                    0.464406                 -13.2662                 -0.534837                
24.3327                  -0.214648                -0.477096                0.45                     13.27                    0.527699                 -13.2655                 -0.559094                
24.4927                  -0.256301                -0.506192                0.45                     13.27                    0.566613                 -13.2652                 -0.568023                
24.6366                  -0.264593                -0.542613                0.45                     13.27                    0.604986                 -13.2648                 -0.576828                
24.7804                  -0.224124                -0.569928                0.46                     13.27                    0.62276                  -13.2645                 -0.590639                
24.9402                  -0.185629                -0.523215                0.47                     13.27                    0.566974                 -13.265                  -0.587571                
25.0838                  -0.2107                  -0.536477                0.47                     13.27                    0.586145                 -13.2648                 -0.59197                 
25.2437                  -0.145951                -0.468386                0.47                     13.27                    0.502794                 -13.2656                 -0.572845                
25.3876                  -0.182076                -0.43256                 0.47                     13.28                    0.475519                 -13.2759                 -0.566648                
25.5314                  -0.192341                -0.410985                0.47                     13.28                    0.456367                 -13.276                  -0.562249                
25.6756                  -0.266764                -0.444832                0.47                     13.28                    0.507771                 -13.2756                 -0.574054                
25.835                   -0.245049                -0.465022                0.46                     13.28                    0.522837                 -13.2755                 -0.567781                
25.9998                  -0.188985                -0.447801                0.46                     13.28                    0.49239                  -13.2758                 -0.56079                 
26.1386                  -0.170232                -0.462448                0.45                     13.27                    0.502581                 -13.2658                 -0.55333                 
26.2825                  -0.241101                -0.481846                0.45                     13.27                    0.538685                 -13.2654                 -0.561615                
26.4424                  -0.286505                -0.503817                0.44                     13.26                    0.571306                 -13.2552                 -0.559288                
26.5867                  -0.303482                -0.582002                0.44                     13.26                    0.653484                 -13.2544                 -0.57813                 
26.7458                  -0.263013                -0.543009                0.44                     13.26                    0.604961                 -13.2549                 -0.567005                
26.8899                  -0.280385                -0.545978                0.45                     13.26                    0.612022                 -13.2547                 -0.578356                
27.0496                  -0.269725                -0.484023                0.45                     13.27                    0.54761                  -13.2653                 -0.563663                
27.1936                  -0.32954                 -0.467595                0.46                     13.27                    0.545282                 -13.2653                 -0.572861                
27.3375                  -0.264987                -0.492931                0.46                     13.28                    0.555448                 -13.2752                 -0.57527                 
27.4813                  -0.293019                -0.494316                0.46                     13.28                    0.563447                 -13.2751                 -0.577107                
27.6252                  -0.220176                -0.451562                0.46                     13.29                    0.50355                  -13.2857                 -0.563419                
27.7852                  -0.175562                -0.498671                0.45                     13.3                     0.540156                 -13.2954                 -0.562173                
27.9289                  -0.161546                -0.583586                0.45                     13.31                    0.621785                 -13.3046                 -0.581033                
28.0886                  -0.162533                -0.526382                0.46                     13.31                    0.564817                 -13.3051                 -0.577654                
28.2482                  -0.127592                -0.480263                0.46                     13.31                    0.510436                 -13.3056                 -0.565138                
28.3925                  -0.193526                -0.536477                0.47                     13.32                    0.582275                 -13.3148                 -0.591482                
28.5361                  -0.164704                -0.515297                0.48                     13.32                    0.554276                 -13.315                  -0.594765                
28.6959                  -0.19629                 -0.511339                0.48                     13.32                    0.557792                 -13.315                  -0.595574                
28.8395                  -0.185235                -0.492337                0.48                     13.33                    0.536209                 -13.3252                 -0.590675                
28.9835                  -0.186814                -0.47571                 0.48                     13.33                    0.519957                 -13.3253                 -0.58693                 
29.1274                  -0.171416                -0.455323                0.48                     13.33                    0.495923                 -13.3256                 -0.58139                 
29.2872                  -0.179905                -0.409203                0.48                     13.33                    0.451816                 -13.326                  -0.571224                
29.4311                  -0.203396                -0.415339                0.47                     13.33                    0.463517                 -13.326                  -0.564191                
29.575                   -0.259657                -0.494316                0.47                     13.33                    0.555815                 -13.3251                 -0.585464                
29.7507                  -0.230046                -0.518662                0.47                     13.33                    0.573147                 -13.3249                 -0.589458                
29.8949                  -0.27466                 -0.57072                 0.47                     13.32                    0.635716                 -13.3143                 -0.60379                 
30.0384                  -0.223927                -0.490555                0.47                     13.32                    0.54355                  -13.3152                 -0.582564                
30.1842                  -0.260447                -0.491941                0.48                     13.32                    0.553578                 -13.315                  -0.594604                
30.342                   -0.240706                -0.482638                0.48                     13.31                    0.53956                  -13.3052                 -0.591303                
30.486                   -0.269923                -0.458886                0.49                     13.31                    0.522717                 -13.3052                 -0.597158                
30.6456                  -0.318287                -0.447405                0.49                     13.31                    0.522674                 -13.3052                 -0.597148                
30.7894                  -0.24347                 -0.405245                0.49                     13.31                    0.462824                 -13.3058                 -0.583374                
30.9334                  -0.329342                -0.463636                0.48                     13.31                    0.541519                 -13.3051                 -0.591754                
31.0771                  -0.348886                -0.534299                0.47                     13.31                    0.616799                 -13.3045                 -0.599347                
31.2529                  -0.288874                -0.470762                0.46                     13.31                    0.539075                 -13.3053                 -0.571729                
31.3808                  -0.344543                -0.458094                0.46                     13.3                     0.539509                 -13.2953                 -0.571756                
31.5408                  -0.285913                -0.460667                0.45                     13.3                     0.528229                 -13.2955                 -0.559431                
31.6843                  -0.289861                -0.46997                 0.44                     13.3                     0.538464                 -13.2955                 -0.552053                
31.8288                  -0.281372                -0.479669                0.44                     13.29                    0.546105                 -13.2854                 -0.553735                
31.9722                  -0.234784                -0.447009                0.44                     13.29                    0.502447                 -13.2859                 -0.543702                
32.1322                  -0.296967                -0.497879                0.44                     13.29                    0.567996                 -13.2852                 -0.558766                
32.2758                  -0.246826                -0.498869                0.44                     13.3                     0.557193                 -13.2953                 -0.55636                 
32.4357                  -0.264395                -0.447801                0.45                     13.31                    0.510328                 -13.3057                 -0.555382                
32.5795                  -0.27012                 -0.504807                0.45                     13.32                    0.568734                 -13.3151                 -0.568903                
32.7394                  -0.288874                -0.440873                0.45                     13.33                    0.509296                 -13.3257                 -0.555282                
32.8832                  -0.319867                -0.469178                0.45                     13.34                    0.544998                 -13.3354                 -0.563585                
33.0471                  -0.272094                -0.43256                 0.45                     13.34                    0.497059                 -13.3358                 -0.552527                
33.1872                  -0.285518                -0.426424                0.44                     13.35                    0.494158                 -13.3459                 -0.542195                
33.331                   -0.305456                -0.498671                0.43                     13.36                    0.571187                 -13.3553                 -0.550325                
33.4905                  -0.241496                -0.410193                0.43                     13.36                    0.46753                  -13.3562                 -0.526381                
