Time(s)                  AngVel-x(rad/s)          AngVel-y(rad/s)          AngVel-z(rad/s)          Ref.AngVelX(rad/s)       Ref.AngVelY(rad/s)       Ref.AngVelZ(rad/s)       Err.AngVelX(rad/s)       Err.AngVelY(rad/s)       Err.AngVelZ(rad/s)       Rot.Angle(deg)           Prof.Angle(deg)          Prof.w(rad/s)            Prof.e(rad/s^2)          
65.1506                  0.0304758                0.0411129                0.000495975              0.00147879               -0.00750639              -0.000436555             0.367425                 -0.0413342               -0.00157442              8.31162                  4.4085                   0.0055544                0.002                    
65.2305                  -0.0129754               0.0376704                0.000481133              0.00150038               -0.00761595              -0.000442927             -0.0289754               -0.0487288               -0.000938902             8.49872                  4.43934                  0.00574187               0.002                    
65.3109                  -0.00114951              0.0445682                -0.00131605              0.00157602               -0.0079999               -0.000465256             0.0145514                -0.0456703               -0.00094639              8.70084                  4.46712                  0.00590604               0.002                    
65.3905                  -0.0177687               0.0363935                -0.00170799              0.0016632                -0.00844242              -0.000490992             0.0028127                -0.0530106               0.000825055              8.87857                  4.49456                  0.00606401               0.002                    
65.4874                  -0.0267166               0.0344                   -0.00148721              0.00173148               -0.00878903              -0.00051115              0.0195002                -0.0451825               0.00119684               9.10123                  4.52386                  0.00622826               0.002                    
65.5853                  -0.0113226               0.0306868                -0.00153797              0.00181587               -0.00921741              -0.000536064             0.0285324                -0.0436175               0.000951141              9.27943                  4.56199                  0.00643507               0.002                    
65.6783                  -0.0378713               0.0199062                -6.539e-05               0.00187864               -0.00953601              -0.000554593             0.0132012                -0.0402228               0.000983372              9.43483                  4.59584                  0.0066137                0.002                    
65.7738                  -0.0126887               0.0267579                -0.00158869              0.00192256               -0.00975895              -0.000567559             0.0397938                -0.0296651               -0.000502169             9.59404                  4.63235                  0.00680112               0.002                    
65.8884                  0.0160412                0.0273684                -0.00143334              0.0019675                -0.00998708              -0.000580827             0.0146562                -0.036745                0.00100786               9.73462                  4.67041                  0.00699113               0.002                    
66.5092                  0.00590188               0.0132114                0.00035589               0.00196237               -0.00996104              -0.000579312             -0.0140788               -0.0373295               0.000854032              10.1368                  4.73289                  0.00729031               0.002                    
66.8866                  0.00738919               0.00895725               -0.00131886              0.00178812               -0.00907656              -0.000527873             -0.00411376              -0.022288                -0.000883763             10.2855                  5.03721                  0.00853494               0.002                    
66.9732                  0.333055                 0.00767612               -0.00161834              0.0016339                -0.00829373              -0.000482345             -0.00575529              -0.017251                0.000836514              10.0835                  5.21837                  0.00922075               0.002                    
67.0687                  -0.326981                0.00576672               -0.00331229              0.00143499               -0.00728405              -0.000423624             -0.33162                 -0.0149602               0.00119471               10.3948                  5.26357                  0.00938877               0.002                    
67.1646                  0.00730015               0.005505                 -0.00189625              0.00157138               -0.00797634              -0.000463886             0.328553                 -0.0137431               0.0028484                10.3747                  5.31681                  0.00958274               0.002                    
67.2606                  -0.00802594              0.00880297               -0.00336579              0.00148451               -0.00753541              -0.000438243             -0.00581564              -0.0130404               0.001458                 10.4344                  5.37063                  0.00977492               0.002                    
67.3564                  -0.021186                0.00578644               -0.00190495              0.00145079               -0.00736423              -0.000428287             0.00947673               -0.0161672               0.00293751               10.4906                  5.42539                  0.00996671               0.002                    
67.4522                  -0.02383                 0.0071606                -0.00177129              0.00141476               -0.00718138              -0.000417653             0.0226008                -0.0129678               0.00148729               10.5599                  5.48068                  0.0101567                0.002                    
67.5483                  -0.0182704               0.00559891               -0.000135368             0.001386                 -0.00703538              -0.000409162             0.025216                 -0.014196                0.00136212               10.6125                  5.53763                  0.0103488                0.002                    
67.6439                  -0.0115153               0.00549109               3.73269e-06              0.00134548               -0.00682969              -0.0003972               0.0196158                -0.0124286               -0.000261832             10.6562                  5.59548                  0.0105404                0.002                    
67.7401                  0.00536753               0.00378528               0.0016491                0.00129834               -0.0065904               -0.000383283             0.0128136                -0.0120815               -0.000387015             10.6662                  5.65433                  0.0107318                0.002                    
67.8361                  0.0274718                0.000329818              0.0017902                0.00122686               -0.00622756              -0.000362181             -0.00414068              -0.0100128               -0.00201128              10.6276                  5.71497                  0.0109255                0.002                    
67.932                   0.00390693               6.01594e-06              0.00344822               0.00112259               -0.00569832              -0.000331401             -0.0263492               -0.00602813              -0.0021216               10.626                   5.77613                  0.0111176                0.002                    
68.0277                  0.0111645                -0.00167183              0.00194631               0.00104341               -0.00529638              -0.000308026             -0.00286352              -0.0053024               -0.00375624              10.6017                  5.83767                  0.0113076                0.002                    
68.1394                  0.0105823                -0.00452945              0.00299312               0.000947281              -0.00480842              -0.000279647             -0.0102172               -0.00313659              -0.00222596              10.5579                  5.90098                  0.0114997                0.002                    
68.2833                  -0.0018427               -0.00958827              0.00234066               0.000800235              -0.00406201              -0.000236238             -0.00978209              0.00046744               -0.00322935              10.4844                  5.99537                  0.0117794                0.002                    
68.4431                  0.00126775               -0.0119902               0.00206711               0.000620394              -0.00314914              -0.000183147             0.00246309               0.00643913               -0.00252381              10.375                   6.10123                  0.0120852                0.002                    
68.5872                  0.0183518                -0.0191857               -0.000136615             0.000421471              -0.0021394               -0.000124423             -0.000846274             0.00985084               -0.00219154              10.185                   6.20408                  0.0123753                0.002                    
68.7467                  -0.000331476             -0.0207451               -0.00130115              0.000164808              -0.000836572             -4.86531e-05             -0.018187                0.0183491                8.79619e-05              10.0006                  6.31081                  0.0126694                0.002                    
68.8906                  -0.00140346              -0.0241375               -0.0014699               -9.68619e-05             0.000491674              2.85946e-05              0.000234614              0.0212368                0.00132974               9.80794                  6.42608                  0.0129794                0.002                    
69.0345                  -0.01202                 -0.0313355               -0.00152393              -0.000359613             0.0018254                0.000106161              0.00104385               0.0259629                0.00157606               9.57827                  6.53867                  0.0132754                0.002                    
69.1785                  -0.0173478               -0.0279605               -0.00142787              -0.000654546             0.00332249               0.000193229              0.0113655                0.034658                 0.00171716               9.3913                   6.65857                  0.0135835                0.002                    
69.3381                  -0.00511206              -0.0305519               -0.00021927              -0.000914103             0.00464001               0.000269852              0.0164336                0.0326005                0.00169772               9.13329                  6.77384                  0.0138736                0.002                    
69.482                   -0.0112051               -0.0291515               -0.000154079             -0.0012373               0.00628058               0.000365265              0.00387476               0.0368325                0.000584535              8.92918                  6.90395                  0.0141936                0.002                    
69.6417                  -0.00939707              -0.0305756               -0.000112905             -0.00151011              0.00766535               0.0004458                0.00969496               0.0368168                0.000599879              8.68737                  7.02278                  0.01448                  0.002                    
69.7857                  0.00248381               -0.0279639               0.00107621               -0.00181536              0.00921483               0.000535914              0.00758171               0.0397905                0.000648819              8.46182                  7.14883                  0.0147777                0.002                    
69.9303                  0.0153898                -0.0301206               0.00221256               -0.00212029              0.0107626                0.000625931              -0.0046041               0.0387265                -0.000450283             8.18443                  7.28544                  0.0150937                0.002                    
70.0928                  0.00419                  -0.0216287               0.000950324              -0.00237245              0.0120426                0.000700371              -0.0177622               0.0421632                -0.00151219              7.98308                  7.40922                  0.015                    0                        
70.249                   0.0190629                -0.0234471               0.000916235              -0.00259255              0.0131599                0.000765348              -0.00678255              0.0347885                -0.000184977             7.73082                  7.53463                  0.015                    0                        
70.3928                  0.00634917               -0.0195166               -0.000161385             -0.00284879              0.0144605                0.000840993              -0.0219117               0.0379077                -7.52419e-05             7.56344                  7.66277                  0.015                    0                        
70.537                   0.0212003                -0.0193713               -0.000227478             -0.00305175              0.0154907                0.000900907              -0.00940092              0.0350073                0.00106229               7.35868                  7.79668                  0.015                    0                        
70.6804                  -0.0121626               -0.0147206               -0.00134721              -0.00327884              0.0166435                0.000967949              -0.0244791               0.0360148                0.00119543               7.27489                  7.92905                  0.015                    0                        
70.8407                  0.00476737               -0.0109296               -0.00225318              -0.00341703              0.0173449                0.00100874               0.00874558               0.0320656                0.00235596               7.16504                  8.05041                  0.015                    0                        
70.9841                  -0.0189812               -0.00855275              -0.00247622              -0.00357719              0.0181579                0.00105602               -0.00834457              0.0290875                0.0033092                7.14791                  8.17833                  0.015                    0                        
71.1283                  -0.00125502              -0.00492978              -0.00126756              -0.00367788              0.018669                 0.00108575               0.0153033                0.0272218                0.00356197               7.11187                  8.31068                  0.015                    0                        
71.2879                  -0.00841074              -0.00114242              -0.00214138              -0.00378613              0.0192185                0.0011177                -0.00253111              0.0241483                0.00238526               7.12763                  8.43533                  0.015                    0                        
71.4316                  -0.0257813               0.00234084               -0.00120488              -0.00386662              0.0196271                0.00114147               0.00454412               0.0207695                0.00328284               7.221                    8.57058                  0.015                    0                        
71.5756                  -0.00144422              0.00477556               0.00114529               -0.00388768              0.019734                 0.00114768               0.0218936                0.0173931                0.00235256               7.26083                  8.69521                  0.015                    0                        
71.7356                  0.00321675               0.00757681               0.00110425               -0.00395178              0.0200593                0.0011666                -0.00250756              0.0152838                2.13181e-05              7.31577                  8.8302                   0.015                    0                        
71.8952                  0.0123676                0.0108603                0.00218971               -0.00400107              0.0203095                0.00118116               -0.00721782              0.0127327                7.69082e-05              7.37099                  8.95831                  0.015                    0                        
72.0232                  0.00635008               0.013521                 0.00146623               -0.0040479               0.0205472                0.00119498               -0.0164155               0.00968695               -0.00099473              7.451                    9.08306                  0.015                    0                        
72.1829                  0.0033985                0.0141758                0.00224392               -0.00408196              0.0207201                0.00120504               -0.010432                0.00719914               -0.000261196             7.56494                  9.21363                  0.015                    0                        
72.3268                  0.00509119               0.0157151                0.00134943               -0.00409145              0.0207683                0.00120784               -0.00748995              0.00659252               -0.00103608              7.67566                  9.34165                  0.015                    0                        
72.4867                  0.016146                 0.0174056                0.00230638               -0.00410776              0.0208511                0.00121265               -0.00919894              0.00513597               -0.000136783             7.78527                  9.47658                  0.015                    0                        
72.6304                  -0.016553                0.0205732                -0.000898669             -0.00412024              0.0209144                0.00121634               -0.0202663               0.00350884               -0.00109004              7.98895                  9.60473                  0.015                    0                        
72.7905                  0.0153618                0.0164213                0.000146309              -0.00406979              0.0206583                0.00120144               0.0124832                8.51432e-05              0.00210011               8.09171                  9.73351                  0.015                    0                        
72.934                   -0.0299124               0.0229274                0.000209752              -0.00408228              0.0207217                0.00120513               -0.0194441               0.00430047               0.00105882               8.34608                  9.85481                  0.015                    0                        
73.078                   0.0113947                0.0206781                -0.00100152              -0.00399944              0.0203012                0.00118067               0.0259129                -0.00262616              0.000970922              8.47932                  9.9862                   0.015                    0                        
73.2379                  -0.0181417               0.0196658                0.000120887              -0.00399922              0.0203002                0.00118061               -0.0153939               -0.000377993             0.00218214               8.70019                  10.1191                  0.015                    0                        
73.3975                  -0.00361445              0.0228933                0.00118522               -0.00393704              0.0199845                0.00116226               0.0142047                0.000318746              0.00104137               8.91035                  10.2477                  0.015                    0                        
73.5416                  -0.0114322               0.0253693                0.00130513               -0.00388287              0.0197095                0.00114626               -0.000268417             -0.00318372              -3.89538e-05             9.13929                  10.3774                  0.015                    0                        
73.6852                  0.0121153                0.0231374                0.00130437               -0.00381136              0.0193466                0.00112515               0.00762085               -0.00602278              -0.00017998              9.29242                  10.5002                  0.015                    0                        
73.8291                  0.00555484               0.0230539                0.000165079              -0.00379679              0.0192726                0.00112085               -0.0159121               -0.00386481              -0.000183524             9.46353                  10.6317                  0.015                    0                        
73.9888                  0.0140967                0.0240274                -0.000886282             -0.00377071              0.0191402                0.00111315               -0.00932555              -0.00391368              0.000948073              9.64287                  10.7641                  0.015                    0                        
74.1329                  0.0139886                0.0242443                -0.000969172             -0.00373154              0.0189414                0.00110159               -0.0178282               -0.00508596              0.00198787               9.80958                  10.8853                  0.015                    0                        
74.2924                  0.0133694                0.0240916                -0.00187447              -0.00370898              0.0188269                0.00109493               -0.0176976               -0.00541742              0.0020641                9.99674                  11.0185                  0.015                    0                        
74.4364                  -0.00615972              0.0254545                -0.0020919               -0.00366924              0.0186251                0.0010832                -0.0170386               -0.00546645              0.00295766               10.2131                  11.1467                  0.015                    0                        
74.5961                  0.00349146               0.0208691                -0.00192552              -0.00360742              0.0183113                0.00106495               0.0025523                -0.00714318              0.00315685               10.3914                  11.2713                  0.015                    0                        
74.7243                  -0.0202057               0.0243857                -0.00241904              -0.00357816              0.0181629                0.00105631               -0.00706962              -0.00270624              0.00298183               10.5997                  11.4062                  0.015                    0                        
74.8838                  -0.00670181              0.0197736                0.00119207               -0.00352241              0.0178799                0.00103985               0.0166833                -0.00650585              0.0034589                10.7884                  11.5317                  0.015                    0                        
75.0438                  -0.0173797               0.0196255                0.000153566              -0.00348524              0.0176911                0.00102888               0.00321658               -0.00208248              -0.000163189             10.9997                  11.6651                  0.015                    0                        
75.1875                  0.0143179                0.0241751                0.000158947              -0.0034279               0.0174001                0.00101195               0.0139518                -0.00222536              0.000858385              11.1671                  11.7913                  0.015                    0                        
75.3315                  -0.0165247               0.0218611                0.00131147               -0.00339904              0.0172536                0.00100343               -0.017717                -0.00692153              0.000844484              11.3742                  11.9159                  0.015                    0                        
75.4751                  0.0218885                0.0230647                0.00136474               -0.00334813              0.0169952                0.000988404              0.0131765                -0.00486583              -0.000323064             11.5199                  12.0474                  0.015                    0                        
75.635                   0.00342413               0.0186258                0.00124923               -0.00333911              0.0169494                0.000985739              -0.0252276               -0.00611527              -0.000378999             11.681                   12.1798                  0.015                    0                        
75.7787                  0.00891962               0.0217657                0.000238542              -0.00331636              0.0168339                0.000979025              -0.00674049              -0.00179185              -0.000270203             11.8431                  12.3071                  0.015                    0                        
75.9384                  -0.0016543               0.0197036                0.000200082              -0.0032922               0.0167113                0.000971892              -0.0122118               -0.00505445              0.00073335               12.0231                  12.4334                  0.015                    0                        
76.0824                  0.0275271                0.0182393                -0.000955971             -0.00326362              0.0165662                0.000963455              -0.00160932              -0.00313739              0.000763373              12.1292                  12.5708                  0.015                    0                        
76.2422                  -0.00360526              0.0175069                -0.000849741             -0.00327614              0.0166298                0.00096715               -0.0308032               -0.00160951              0.00192312               12.293                   12.6955                  0.015                    0                        
76.3905                  -0.00776725              0.0142008                0.000155739              -0.00324973              0.0164957                0.000959353              0.000355531              -0.00101117              0.00180909               12.4226                  12.8202                  0.015                    0                        
76.5459                  0.0145217                0.0179022                -0.000857364             -0.00324985              0.0164963                0.00095939               0.0045174                0.00229553               0.000803651              12.5583                  12.9499                  0.015                    0                        
76.6897                  -0.0255997               0.0182198                -0.000976976             -0.00324937              0.0164939                0.000959248              -0.017771                -0.00140832              0.00181661               12.7424                  13.0849                  0.015                    0                        
76.8337                  0.0235109                0.0157965                0.00133931               -0.00320765              0.0162821                0.000946932              0.022392                 -0.00193766              0.00192391               12.837                   13.2071                  0.015                    0                        
76.9776                  -0.0508548               0.0181301                0.000221026              -0.00323298              0.0164107                0.000954409              -0.0267439               0.00061422               -0.000384897             13.0594                  13.3393                  0.015                    0                        
77.1373                  0.0160511                0.0153424                0.00119433               -0.00316878              0.0160848                0.000935457              0.0476861                -0.00204529              0.000714431              13.1689                  13.4664                  0.015                    0                        
77.2972                  -0.0174292               0.0163373                0.0022874                -0.00318018              0.0161427                0.000938822              -0.0192313               0.000800315              -0.000255507             13.3464                  13.5928                  0.015                    0                        
77.441                   0.0216045                0.0181386                0.00138402               -0.00315207              0.016                    0.000930523              0.0142771                -0.000337297             -0.00135688              13.4615                  13.7286                  0.015                    0                        
77.5851                  -0.000328111             0.0169819                0.00137449               -0.0031597               0.0160387                0.000932775              -0.0247642               -0.00209993              -0.000451243             13.601                   13.855                   0.015                    0                        
77.7287                  0.0227926                0.0181693                0.00259877               -0.00315029              0.0159909                0.000929997              -0.00282218              -0.000990975             -0.000444492             13.7189                  13.9805                  0.015                    0                        
77.8884                  0.015491                 0.0153612                -0.000808233             -0.00315905              0.0160354                0.000932583              -0.0259517               -0.00213392              -0.00166619              13.8366                  14.1114                  0.015                    0                        
78.0324                  -0.0220583               0.0169228                0.000207565              -0.00316544              0.0160679                0.000934472              -0.0186564               0.000706627              0.00174271               14.0029                  14.2386                  0.015                    0                        
78.1921                  -0.00325819              0.0164134                -0.000874287             -0.00314262              0.015952                 0.000927735              0.0189157                -0.000970757             0.00072017               14.1549                  14.371                   0.015                    0                        
78.3359                  -0.0123057               0.0193542                -0.000997838             -0.00312584              0.0158668                0.000922779              0.000132354              -0.000546589             0.00179707               14.3287                  14.4981                  0.015                    0                        
78.4958                  -0.00220579              0.0142983                -0.000952382             -0.00303736              0.0154177                0.000896659              0.0092683                -0.00393646              0.0018945                14.4597                  14.6311                  0.0146839                -0.002                   
78.6396                  0.00172976               0.0180879                0.000146614              -0.00297352              0.0150937                0.000877815              -0.000767732             0.000795389              0.0018302                14.6054                  14.7498                  0.014396                 -0.002                   
78.7835                  0.000934102              0.0169971                0.00134663               -0.00289861              0.0147134                0.0008557                -0.00462837              -0.0033745               0.000709085              14.7428                  14.8686                  0.0141019                -0.002                   
78.9433                  -0.0171227               0.0142464                0.0012161                -0.00282862              0.0143581                0.000835036              -0.00376272              -0.00263895              -0.000511591             14.8965                  14.9904                  0.0137939                -0.002                   
79.0875                  0.012997                 0.0180384                0.00135427               -0.0027451               0.0139342                0.000810383              0.0143776                -0.000312195             -0.000405715             15.0269                  15.1049                  0.0134976                -0.002                   
79.231                   -0.0172251               0.0158567                0.00134034               -0.00267522              0.0135795                0.000789752              -0.0156722               -0.00445891              -0.000564522             15.1788                  15.2147                  0.0132075                -0.002                   
79.3919                  0.0495325                0.0162532                0.00125973               -0.00258991              0.0131464                0.000764567              0.0146352                -0.0027103               -0.000575769             15.2595                  15.3269                  0.012904                 -0.002                   
79.5345                  -0.0345636               0.0147243                0.000208628              -0.00255053              0.0129465                0.000752942              -0.052083                -0.00330668              -0.000506787             15.4202                  15.4345                  0.012606                 -0.002                   
79.695                   0.0378175                0.0152156                0.000193201              -0.00245633              0.0124684                0.000725134              0.0321073                -0.00225594              0.000516506              15.51                    15.5466                  0.0122877                -0.002                   
79.8383                  -0.0331424               0.0158324                -0.000973992             -0.00240686              0.0122173                0.00071053               -0.0402244               -0.00299828              0.000517329              15.6767                  15.6448                  0.0120019                -0.002                   
79.9821                  0.0152016                0.0146156                -0.00103733              -0.00230431              0.0116968                0.000680257              0.0308381                -0.00413561              0.00165425               15.7768                  15.7442                  0.0117055                -0.002                   
80.1259                  -0.0023705               0.0157476                0.000170679              -0.00224524              0.0113969                0.000662817              -0.0174468               -0.00321873              0.00170015               15.9088                  15.8454                  0.0113955                -0.002                   
80.2856                  -0.0223636               0.0120958                -0.000940408             -0.00216256              0.0109772                0.000638409              0.000207943              -0.00477039              0.00046773               16.046                   15.9377                  0.0111054                -0.002                   
80.4297                  -0.00506447              0.0132968                8.8507e-05               -0.00207496              0.0105325                0.000612548              0.0202886                -0.00156327              0.00155296               16.1603                  16.0366                  0.0107854                -0.002                   
80.5895                  -0.00628949              0.0141787                0.000112131              -0.00200078              0.010156                 0.000590652              0.00306369               -0.0031408               0.000502145              16.2973                  16.1256                  0.0104891                -0.002                   
80.7333                  -0.00500289              0.0121838                0.00126725               -0.00190963              0.00969335               0.000563743              0.00437986               -0.00448532              0.000451612              16.4024                  16.2086                  0.0102053                -0.002                   
80.8935                  0.0225484                0.0130507                0.00013245               -0.00183818              0.00933067               0.000542651              0.00316471               -0.00285315              -0.000724596             16.4912                  16.2959                  0.00989744               -0.002                   
81.037                   -0.0115354               0.0157453                0.000150027              -0.00177601              0.00901505               0.000524295              -0.0243244               -0.00403561              0.000391845              16.634                   16.3789                  0.00959532               -0.002                   
81.1808                  0.0298723                0.0133972                0.00132538               -0.00167569              0.00850583               0.00049468               0.00985976               -0.00723945              0.000344653              16.7096                  16.4594                  0.00929318               -0.002                   
81.3407                  -0.0251407               0.0109614                0.0001417                -0.0016193               0.00821963               0.000478035              -0.0314916               -0.0051776               -0.000847349             16.84                    16.5332                  0.00900698               -0.002                   
81.4844                  0.0167511                0.0144703                0.000148271              -0.00152394              0.00773556               0.000449883              0.0236167                -0.00322588              0.000308183              16.9394                  16.6085                  0.00870499               -0.002                   
81.6285                  -0.0051727               0.0133593                0.00014747               -0.00144754              0.00734776               0.000427329              -0.0181986               -0.0071225               0.000279058              17.0545                  16.6821                  0.00839905               -0.002                   
81.7881                  0.00673335               0.012059                 -0.000938291             -0.00135834              0.00689497               0.000400996              0.00381436               -0.00646436              0.000253526              17.1553                  16.7549                  0.00808475               -0.002                   
81.9321                  0.00583515               0.0144744                0.000147133              -0.00127803              0.00648729               0.000377286              -0.00801137              -0.00557171              0.00131558               17.2684                  16.8202                  0.00779236               -0.002                   
82.076                   -0.0174414               0.0122046                -0.00104302              -0.00118808              0.00603072               0.000350733              -0.00702323              -0.00844363              0.000203601              17.386                   16.8816                  0.007507                 -0.002                   
82.2358                  -0.0106277               0.0109487                7.93345e-05              -0.00109197              0.00554288               0.000322362              0.0163494                -0.00666171              0.00136538               17.4977                  16.9459                  0.00719505               -0.002                   
82.3795                  0.00068112               0.0132989                -0.00107021              -0.000999121             0.00507156               0.000294951              0.00962858               -0.00587718              0.000215616              17.6054                  17.004                   0.00690082               -0.002                   
82.5393                  -0.0167223               0.00881904               4.15586e-05              -0.000906328             0.00460055               0.000267557              -0.00158745              -0.00869833              0.00133777               17.7059                  17.0623                  0.00659251               -0.002                   
82.6831                  -0.00155138              0.0132324                7.45212e-05              -0.000817202             0.00414814               0.000241246              0.0159051                -0.0046709               0.000199688              17.8161                  17.1163                  0.00629275               -0.002                   
82.8278                  0.0165606                0.0120851                0.00125629               -0.000720257             0.00365604               0.000212627              0.000831127              -0.00957635              0.000138106              17.8962                  17.1669                  0.00599847               -0.002                   
82.987                   0.0139046                0.00990447               0.000111441              -0.00064066              0.00325201               0.000189129              -0.0172012               -0.00883313              -0.00106716              17.9693                  17.2171                  0.0056904                -0.002                   
83.1371                  0.00833739               0.011575                 0.00126182               -0.000565134             0.00286863               0.000166833              -0.0144697               -0.00703584              5.53924e-05              18.0602                  17.2628                  0.00539466               -0.002                   
83.2903                  0.0055289                0.00916478               0.000132875              -0.000475313             0.0024127                0.000140317              -0.0088127               -0.00916232              -0.00112151              18.1339                  17.3069                  0.00509263               -0.002                   
83.4421                  -0.00300732              0.00808762               -0.00102661              -0.000396931             0.00201483               0.000117178              -0.00592583              -0.00714995              -1.56973e-05             18.2065                  17.3463                  0.00480631               -0.002                   
83.5781                  -0.00304601              0.0101936                8.17079e-05              -0.000316085             0.00160446               9.33117e-05              0.00269123               -0.00648316              0.00111992               18.2887                  17.3852                  0.0045046                -0.002                   
83.7379                  -0.00722139              0.00662856               -0.00100105              -0.000227579             0.0011552                6.71837e-05              0.00281843               -0.00903838              -1.45242e-05             18.356                   17.421                   0.00420823               -0.002                   
83.8818                  -0.0109067               0.00726132               4.00338e-05              -0.000144777             0.000734894              4.27398e-05              0.00707661               -0.00589367              0.00104379               18.4267                  17.4564                  0.0038905                -0.002                   
