Time(s)                  AngVel-x(rad/s)          AngVel-y(rad/s)          AngVel-z(rad/s)          Ref.AngVelX(rad/s)       Ref.AngVelY(rad/s)       Ref.AngVelZ(rad/s)       Err.AngVelX(rad/s)       Err.AngVelY(rad/s)       Err.AngVelZ(rad/s)       Rot.Angle(deg)           Prof.Angle(deg)          Prof.w(rad/s)            Prof.e(rad/s^2)          
6.78344                  -0.00167747              -0.0023209               -0.00594302              0                        0                        0                        0                        0                        0                        4.88974                  0                        0                        0                        
6.92734                  -0.0142607               -0.00119355              -0.0047672               0                        0                        0                        0                        0                        0                        4.93744                  0                        0                        0                        
7.0872                   -0.00322224              -0.00108367              -0.00113733              0                        0                        0                        0                        0                        0                        4.94203                  0                        0                        0                        
7.23112                  -0.0156337               -0.00121836              0.00111164               0                        0                        0                        0                        0                        0                        4.9979                   0                        0                        0                        
7.3747                   -0.00938468              -0.00123699              0.00347965               0                        0                        0                        0                        0                        0                        5.02747                  0                        0                        0                        
7.53469                  0.00631067               -4.74804e-05             0.00423485               0                        0                        0                        0                        0                        0                        4.99651                  0                        0                        0                        
7.67858                  0.00677793               -4.19421e-05             0.0058596                0                        0                        0                        0                        0                        0                        4.96867                  0                        0                        0                        
7.8384                   0.00808666               -3.50618e-05             0.00428196               0                        0                        0                        0                        0                        0                        4.93266                  0                        0                        0                        
7.9822                   0.0134285                -0.00120451              0.00240506               0                        0                        0                        0                        0                        0                        4.87077                  0                        0                        0                        
8.14203                  0.0102854                -3.38343e-05             0.00108723               0                        0                        0                        0                        0                        0                        4.82769                  0                        0                        0                        
8.28604                  0.00352245               2.82383e-05              -0.00226733              0                        0                        0                        0                        0                        0                        4.81487                  0                        0                        0                        
8.44569                  -0.00306801              -0.00101982              -0.00423268              0                        0                        0                        0                        0                        0                        4.81862                  0                        0                        0                        
8.58948                  -0.00758822              2.71033e-05              -0.00471308              0                        0                        0                        0                        0                        0                        4.84765                  0                        0                        0                        
8.73333                  -0.00733136              3.7927e-05               -0.00357511              0                        0                        0                        0                        0                        0                        4.87605                  0                        0                        0                        
8.87717                  -0.00369859              3.55093e-05              -0.00354448              0                        0                        0                        0                        0                        0                        4.89038                  0                        0                        0                        
